"household_id","00:00:00","00:30:00","01:00:00","01:30:00","02:00:00","02:30:00","03:00:00","03:30:00","04:00:00","04:30:00","05:00:00","05:30:00","06:00:00","06:30:00","07:00:00","07:30:00","08:00:00","08:30:00","09:00:00","09:30:00","10:00:00","10:30:00","11:00:00","11:30:00","12:00:00","12:30:00","13:00:00","13:30:00","14:00:00","14:30:00","15:00:00","15:30:00","16:00:00","16:30:00","17:00:00","17:30:00","18:00:00","18:30:00","19:00:00","19:30:00","20:00:00","20:30:00","21:00:00","21:30:00","22:00:00","22:30:00","23:00:00","23:30:00","cluster"
"I6969",0.202845714285714,0.199634285714286,0.197848571428571,0.1951,0.200762857142857,0.199822857142857,0.196808571428571,0.200605714285714,0.196208571428571,0.200257142857143,0.196305714285714,0.201122857142857,0.221085714285714,0.387445714285714,0.317308571428571,0.287905714285714,0.26702,0.30608,0.312702857142857,0.340148571428571,0.300677142857143,0.270545714285714,0.346745714285714,0.350888571428571,0.421905714285714,0.334211428571429,0.278074285714286,0.297571428571429,0.350491428571429,0.337145714285714,0.38558,0.402205714285714,0.418637142857143,0.571891428571429,0.78854,0.830388571428571,0.739891428571429,0.798108571428571,0.972208571428571,1.06137142857143,1.04956571428571,0.980611428571429,0.709808571428571,0.660148571428571,0.536674285714286,0.447214285714286,0.305553008595989,0.215011428571429,2
"I6970",0.377311428571429,0.297534285714286,0.2672,0.243057142857143,0.23768,0.231957142857143,0.226937142857143,0.222551428571429,0.222728571428571,0.221194285714286,0.22312,0.219702857142857,0.231025714285714,0.307442857142857,0.637111428571429,0.747125714285714,0.381502857142857,0.30368,0.332091428571429,0.293577142857143,0.706245714285714,0.269477142857143,0.638537142857143,0.299402857142857,0.297645714285714,0.290751428571429,0.26264,0.252117142857143,0.248314285714286,0.243162857142857,0.235882857142857,0.244351428571429,0.251531428571429,0.284,0.544625714285714,0.453457142857143,0.576125714285714,0.670188571428571,0.544025714285714,0.804491428571429,1.10045428571429,0.833045714285714,0.851045714285714,0.82888,0.736445714285714,0.845508571428571,0.536467048710602,0.516614285714286,2
"I6974",0.166971428571429,0.137897142857143,0.1136,0.100505714285714,0.0999257142857143,0.0984371428571429,0.0945085714285714,0.0836485714285714,0.0767685714285714,0.0794971428571429,0.0813657142857143,0.08464,0.0834514285714286,0.125231428571429,0.300514285714286,0.624814285714286,0.343648571428571,0.152485714285714,0.183751428571429,0.199417142857143,0.206522857142857,0.210194285714286,0.241082857142857,0.285788571428571,0.310242857142857,0.233045714285714,0.20954,0.168737142857143,0.17062,0.196734285714286,0.178717142857143,0.137762857142857,0.150354285714286,0.168137142857143,0.212974285714286,0.348745714285714,0.507554285714286,0.552665714285714,0.534757142857143,0.534837142857143,0.511237142857143,0.482465714285714,0.489168571428571,0.450117142857143,0.397017142857143,0.331262857142857,0.265134670487106,0.2373,2
"I6976",0.113311428571429,0.11128,0.115585714285714,0.121117142857143,0.127634285714286,0.127785714285714,0.120505714285714,0.113151428571429,0.108788571428571,0.103948571428571,0.104802857142857,0.122068571428571,0.11578,0.132285714285714,0.203885714285714,0.734725714285714,1.42367142857143,1.14863142857143,1.18828571428571,1.01126857142857,0.839337142857143,0.949622857142857,1.12813142857143,1.36750285714286,1.07686571428571,0.617874285714286,0.474194285714286,0.39564,0.333862857142857,0.345228571428571,0.344034285714286,0.37166,0.661954285714286,0.818091428571429,0.612017142857143,0.770002857142857,0.683768571428571,0.635554285714286,0.601402857142857,0.615285714285714,0.603374285714286,0.564257142857143,0.631262857142857,0.547534285714286,0.439891428571429,0.254091428571429,0.154418338108883,0.117005714285714,6
"I6977",0.188597142857143,0.18288,0.179294285714286,0.174222857142857,0.171582857142857,0.178434285714286,0.175442857142857,0.177437142857143,0.173657142857143,0.167414285714286,0.163908571428571,0.162434285714286,0.165317142857143,0.189668571428571,0.35982,0.533285714285714,0.683648571428571,0.667931428571429,0.568305714285714,0.5584,0.513965714285714,0.511117142857143,0.48018,0.503851428571429,0.550665714285714,0.497648571428571,0.496348571428571,0.465645714285714,0.450505714285714,0.460171428571429,0.582714285714286,0.662077142857143,0.723642857142857,0.822997142857143,0.71184,0.61698,0.536211428571429,0.4918,0.475442857142857,0.448077142857143,0.451328571428571,0.418588571428571,0.390205714285714,0.377737142857143,0.373948571428571,0.305171428571429,0.245487106017192,0.198371428571429,6
"I6978",0.24374,0.222591428571429,0.225788571428571,0.221934285714286,0.225357142857143,0.236685714285714,0.240837142857143,0.23428,0.240037142857143,0.226757142857143,0.248011428571429,0.283742857142857,0.456474285714286,0.52956,0.462868571428571,0.412385714285714,0.343345714285714,0.349151428571429,0.352102857142857,0.316208571428571,0.315988571428571,0.300854285714286,0.29372,0.267797142857143,0.268494285714286,0.27582,0.297262857142857,0.298414285714286,0.321217142857143,0.336402857142857,0.32598,0.332077142857143,0.350922857142857,0.405442857142857,0.508605714285714,0.684871428571429,0.913105714285714,0.903074285714286,0.828745714285714,0.859117142857143,0.892842857142857,0.875711428571429,0.781234285714286,0.63666,0.535334285714286,0.398691428571429,0.306054441260745,0.255782857142857,2
"I6982",0.0715657142857143,0.0697942857142857,0.0731914285714286,0.0706142857142857,0.0692771428571429,0.0711571428571429,0.0657057142857143,0.0653085714285714,0.06308,0.0656171428571429,0.0663742857142857,0.0718685714285714,0.133005714285714,0.229568571428571,0.306531428571429,0.119754285714286,0.0907285714285714,0.0912828571428571,0.102248571428571,0.128788571428571,0.114251428571429,0.112414285714286,0.10582,0.0923285714285714,0.0815285714285714,0.0908571428571429,0.0722971428571429,0.0922971428571429,0.0878514285714286,0.0949,0.0881742857142857,0.0907371428571429,0.0968371428571429,0.122568571428571,0.158548571428571,0.20244,0.296314285714286,0.321868571428571,0.288485714285714,0.301348571428571,0.289617142857143,0.248294285714286,0.229368571428571,0.212954285714286,0.170954285714286,0.12542,0.0904957020057307,0.0836085714285714,2
"I6985",0.68116,0.505042857142857,0.406885714285714,0.382985714285714,0.37086,0.375248571428571,0.371011428571429,0.372348571428571,0.375897142857143,0.389922857142857,0.425128571428571,0.573814285714286,0.844922857142857,1.15606,1.43304285714286,1.4761,1.51258285714286,1.69442285714286,1.78917714285714,1.83281714285714,1.87236571428571,1.79025142857143,1.81527714285714,1.74753142857143,1.80884571428571,1.62077142857143,1.69524571428571,1.67654,1.76720571428571,1.88328285714286,2.15802571428571,2.21870285714286,2.51547142857143,2.73483142857143,2.46807142857143,2.38044857142857,2.68878857142857,3.18857714285714,3.40505714285714,3.34496285714286,3.37780857142857,3.35687714285714,3.06396285714286,2.79050571428571,2.5438,2.16427714285714,1.65213467048711,1.06634,1
"I6986",0.0900742857142857,0.08968,0.09816,0.0879514285714286,0.0878742857142857,0.0887342857142857,0.08792,0.0881828571428571,0.0870028571428571,0.0870428571428571,0.0871942857142857,0.0874142857142857,0.09204,0.102365714285714,0.12364,0.0951,0.09352,0.0998342857142857,0.105908571428571,0.0996885714285714,0.107288571428571,0.108674285714286,0.0996628571428572,0.100231428571429,0.10872,0.0949428571428571,0.0961428571428571,0.0978142857142857,0.0976171428571429,0.0926257142857143,0.0932057142857143,0.0937828571428571,0.0955314285714286,0.0931714285714286,0.105754285714286,0.10016,0.0961171428571429,0.100457142857143,0.103437142857143,0.133222857142857,0.123997142857143,0.112242857142857,0.11392,0.114348571428571,0.111177142857143,0.105442857142857,0.101555873925501,0.0962228571428571,4
"I6987",0.282197142857143,0.230565714285714,0.201508571428571,0.185845714285714,0.173817142857143,0.165857142857143,0.161628571428571,0.159394285714286,0.154477142857143,0.150508571428571,0.148688571428571,0.16462,0.19504,0.462297142857143,0.350842857142857,0.373688571428571,0.424105714285714,0.414662857142857,0.419585714285714,0.404551428571429,0.399328571428571,0.402782857142857,0.403037142857143,0.429454285714286,0.407174285714286,0.363077142857143,0.441337142857143,0.454242857142857,0.433431428571429,0.4493,0.505562857142857,0.474425714285714,0.50128,0.517342857142857,0.559342857142857,0.593614285714286,0.584965714285714,0.592614285714286,0.632068571428571,0.660571428571429,0.654442857142857,0.645937142857143,0.645242857142857,0.666497142857143,0.644182857142857,0.57934,0.46263323782235,0.359554285714286,3
